data,num,qtd
01-03-2019,43,56
01-08-2019,144,99
01-10-2018,187,82
01-11-2018,209,55
02-05-2019,81,51
02-07-2019,122,75
03-07-2018,124,116
03-08-2018,147,80
04-05-2018,85,73
04-06-2019,104,54
05-06-2018,105,70
05-09-2019,169,131
06-04-2018,66,51
08-06-2018,108,100
09-07-2019,127,61
10-06-2019,108,67
12-03-2019,47,81
13-09-2019,175,66
15-01-2019,10,66
16-10-2018,197,56
18-06-2018,114,88
19-08-2019,156,87
20-05-2019,93,52
20-09-2019,180,63
22-04-2019,74,61
25-02-2019,39,81
25-06-2019,117,66
28-01-2019,19,57
30-09-2019,186,66
